State,District,Nitrogen,Phosphorus,Potassium,Soil_pH,Organic_Carbon,Electrical_Conductivity,Soil_Moisture,Soil_Type
Punjab,Patiala,55.1,48.5,20.4,7.0,0.76,1.24,16.2,Sandy
Punjab,Patiala,110.2,26.2,45.6,6.64,0.66,1.22,29.8,Sandy
Punjab,Patiala,73.4,38.8,52.5,6.93,0.63,1.03,19.7,Alluvial
Punjab,Patiala,84.2,46.6,16.0,5.41,0.69,1.24,38.6,Alluvial
Punjab,Patiala,46.9,57.1,20.7,6.63,0.83,1.19,37.6,Black
Punjab,Patiala,119.5,51.1,40.0,6.26,0.39,1.5,27.9,Red
Punjab,Patiala,94.1,19.1,34.4,7.09,0.59,1.72,51.4,Laterite
Punjab,Patiala,83.1,55.7,56.2,6.24,0.59,1.17,47.8,Black
Punjab,Patiala,106.1,65.1,33.2,6.69,0.76,0.99,38.1,Alluvial
Punjab,Patiala,94.6,59.1,48.3,6.27,0.56,1.18,56.9,Alluvial
Punjab,Patiala,64.7,34.4,27.7,6.37,0.69,1.15,51.5,Loamy
Punjab,Patiala,53.3,51.6,39.2,7.05,0.73,1.08,32.3,Clayey
Punjab,Patiala,58.5,49.5,27.3,6.3,0.44,1.27,24.3,Alluvial
Punjab,Patiala,53.2,55.7,43.9,6.43,0.65,1.29,54.5,Laterite
Punjab,Patiala,96.2,52.5,39.3,5.91,0.99,1.34,42.7,Alluvial
Punjab,Patiala,98.4,61.8,46.4,6.16,0.78,0.87,41.7,Sandy
Punjab,Patiala,91.8,23.2,49.6,6.67,0.61,0.71,21.7,Sandy
Punjab,Patiala,99.1,41.4,46.9,6.42,0.69,1.13,55.0,Sandy
Punjab,Patiala,49.1,46.6,43.4,7.36,0.72,1.66,38.7,Red
Karnataka,Bangalore Rural,62.4,34.8,45.9,6.25,0.71,0.78,43.4,Sandy
Karnataka,Bangalore Rural,45.8,43.8,67.4,6.36,0.9,1.0,35.8,Alluvial
Karnataka,Bangalore Rural,40.5,26.8,35.0,5.85,0.45,1.81,21.7,Laterite
Karnataka,Bangalore Rural,78.7,60.5,62.6,7.0,0.53,0.87,62.7,Laterite
Karnataka,Bangalore Rural,83.9,41.8,52.0,7.89,0.79,1.0,35.8,Black
Karnataka,Bangalore Rural,65.2,42.7,65.0,6.61,0.89,0.89,58.2,Red
Karnataka,Bangalore Rural,96.7,38.9,57.5,6.05,0.91,1.45,32.6,Sandy
Karnataka,Bangalore Rural,18.0,47.1,55.7,7.3,0.63,0.63,98.2,Alluvial
Karnataka,Bangalore Rural,73.8,41.5,67.6,7.74,0.55,1.7,36.2,Alluvial
Karnataka,Bangalore Rural,88.2,50.1,38.1,6.46,0.6,0.68,34.6,Alluvial
Karnataka,Bangalore Rural,37.6,47.3,26.8,6.85,0.42,0.98,48.0,Laterite
Karnataka,Bangalore Rural,69.4,32.6,65.0,7.55,0.56,1.32,27.1,Loamy
Karnataka,Bangalore Rural,67.5,61.9,51.9,5.93,0.61,1.16,59.8,Alluvial
Karnataka,Bangalore Rural,62.1,32.2,29.7,6.44,0.89,1.16,49.5,Alluvial
Karnataka,Bangalore Rural,52.4,48.8,59.2,6.45,0.5,1.19,73.0,Clayey
Karnataka,Bangalore Rural,52.2,49.1,66.2,6.83,0.35,1.06,30.5,Loamy
Karnataka,Bangalore Rural,56.1,52.2,37.4,6.28,0.83,1.05,69.0,Loamy
Karnataka,Bangalore Rural,45.2,46.4,44.1,6.24,0.69,1.26,63.2,Clayey
Karnataka,Bangalore Rural,65.5,40.6,37.0,6.11,0.85,0.8,69.7,Loamy
Karnataka,Bangalore Rural,66.3,44.0,75.7,5.18,0.44,1.4,45.2,Red
Karnataka,Bangalore Rural,63.9,57.9,66.9,6.79,0.89,1.13,22.1,Loamy
Karnataka,Bangalore Rural,62.7,43.4,56.7,6.33,0.82,1.37,39.3,Red
Karnataka,Bangalore Rural,80.7,24.3,56.6,6.45,0.66,1.62,32.6,Sandy
Karnataka,Bangalore Rural,87.7,38.8,61.3,6.9,0.68,1.5,53.6,Sandy
Karnataka,Bangalore Rural,51.3,45.0,74.6,6.03,0.4,1.22,58.0,Black
Karnataka,Bangalore Rural,52.1,41.4,84.9,6.33,0.76,1.41,39.2,Sandy
Karnataka,Bangalore Rural,46.2,39.4,39.3,7.02,0.6,1.16,54.4,Clayey
Karnataka,Bangalore Rural,66.5,32.7,48.1,6.44,0.59,1.14,50.0,Laterite
Karnataka,Bangalore Rural,49.2,59.1,42.3,5.53,0.49,1.51,51.9,Red
Karnataka,Bangalore Rural,86.2,19.3,52.1,6.93,0.63,1.28,52.3,Black
Karnataka,Bangalore Rural,68.7,54.6,64.1,6.79,0.67,1.16,60.3,Red
Karnataka,Bangalore Rural,60.2,39.1,50.8,5.83,0.39,1.52,17.4,Loamy
Karnataka,Bangalore Rural,47.3,43.8,52.5,5.75,0.58,1.55,59.6,Alluvial
Karnataka,Bangalore Rural,61.9,52.5,64.8,7.08,0.37,1.35,58.5,Laterite
Karnataka,Bangalore Rural,31.0,23.6,27.1,7.15,0.74,0.97,57.8,Red
Karnataka,Bangalore Rural,48.1,45.8,53.0,7.21,0.45,1.36,19.9,Sandy
Karnataka,Bangalore Rural,58.8,44.1,55.8,6.78,0.7,1.19,74.3,Red
Karnataka,Bangalore Rural,73.8,50.8,57.2,7.14,0.69,1.31,34.3,Black
Karnataka,Bangalore Rural,51.3,29.2,58.3,6.21,0.52,0.87,86.5,Alluvial
Karnataka,Bangalore Rural,55.0,47.9,74.1,6.13,0.59,0.42,43.6,Laterite
Karnataka,Bangalore Rural,6.9,29.4,68.0,7.38,0.85,1.47,29.8,Black
Karnataka,Bangalore Rural,36.4,24.9,67.2,7.42,0.59,1.4,46.9,Alluvial
Karnataka,Bangalore Rural,47.7,42.0,55.4,6.91,0.7,1.47,74.6,Alluvial
Karnataka,Bangalore Rural,47.2,41.6,48.7,6.06,0.59,1.54,47.2,Sandy
Karnataka,Bangalore Rural,45.9,32.8,47.1,6.67,0.79,1.47,27.4,Clayey
Karnataka,Bangalore Rural,73.8,57.9,53.7,6.42,0.42,1.11,30.0,Clayey
Karnataka,Bangalore Rural,39.6,33.4,65.8,6.68,0.78,1.96,52.5,Black
Karnataka,Bangalore Rural,44.2,39.2,45.5,8.13,0.74,1.41,33.4,Sandy
Karnataka,Bangalore Rural,57.1,34.7,67.4,6.6,0.73,1.04,39.5,Red
Karnataka,Bangalore Rural,49.4,61.7,51.8,6.52,0.65,0.92,46.2,Loamy
Karnataka,Bangalore Rural,80.6,49.8,48.4,6.34,0.48,1.8,59.0,Loamy
Karnataka,Bangalore Rural,8.8,38.1,69.5,6.73,0.88,1.23,29.4,Sandy
Karnataka,Bangalore Rural,46.6,55.4,71.6,6.76,0.62,1.76,47.7,Black
Karnataka,Bangalore Rural,60.6,62.1,76.2,6.48,0.67,1.53,22.5,Clayey
Karnataka,Bangalore Rural,47.7,39.5,50.0,6.85,0.49,1.18,43.9,Alluvial
Karnataka,Bangalore Rural,71.1,64.7,40.6,5.23,0.65,1.09,42.3,Sandy
Karnataka,Bangalore Rural,85.9,48.0,71.1,7.26,0.51,1.22,52.6,Black
Karnataka,Bangalore Rural,57.8,43.6,77.7,6.37,0.65,1.25,55.5,Sandy
Karnataka,Bangalore Rural,65.4,55.8,56.3,6.14,0.77,0.93,28.1,Red
Karnataka,Bangalore Rural,83.1,44.7,49.0,6.97,0.49,0.97,46.8,Loamy
Karnataka,Bangalore Rural,19.0,32.8,56.5,7.43,0.74,1.3,41.6,Black
Karnataka,Bangalore Rural,68.5,51.7,48.9,5.77,0.52,1.72,50.8,Alluvial
Karnataka,Bangalore Rural,50.9,56.0,58.8,6.19,0.59,1.16,43.9,Clayey
Karnataka,Bangalore Rural,58.6,47.6,34.3,7.12,0.63,1.12,38.4,Alluvial
Karnataka,Bangalore Rural,75.9,31.5,50.3,7.05,0.61,1.55,39.4,Sandy
Karnataka,Bangalore Rural,58.4,23.9,51.2,5.92,0.66,1.63,18.9,Red
Karnataka,Bangalore Rural,47.5,64.1,68.5,6.79,0.54,1.68,45.5,Red
Karnataka,Bangalore Rural,66.0,58.3,35.3,6.42,0.62,1.25,68.1,Clayey
Karnataka,Bangalore Rural,89.2,46.6,47.0,6.87,0.59,1.38,35.1,Laterite
Karnataka,Bangalore Rural,43.4,62.2,27.1,6.09,0.64,1.32,68.6,Black
Karnataka,Bangalore Rural,38.7,55.1,54.0,6.41,0.75,1.43,36.0,Laterite
Karnataka,Bangalore Rural,48.5,62.2,51.9,6.54,0.61,0.87,56.0,Loamy
Karnataka,Bangalore Rural,41.5,30.5,73.6,6.94,0.66,1.7,41.0,Alluvial
Karnataka,Bangalore Rural,86.5,45.6,50.5,6.12,0.56,1.14,41.2,Clayey
Karnataka,Bangalore Rural,23.1,35.6,48.9,5.31,0.48,1.12,43.4,Sandy
Karnataka,Bangalore Rural,70.1,55.8,73.7,7.64,0.55,1.22,38.4,Clayey
Karnataka,Bangalore Rural,56.0,40.1,70.4,7.69,0.79,1.85,31.2,Laterite
Karnataka,Bangalore Rural,43.6,59.0,42.3,6.27,0.78,1.41,40.7,Alluvial
Karnataka,Bangalore Rural,39.9,65.7,45.4,7.08,0.72,1.38,35.6,Clayey
Karnataka,Bangalore Rural,25.5,47.1,60.5,6.35,0.71,1.57,33.7,Alluvial
Karnataka,Bangalore Rural,73.4,54.0,45.6,5.27,0.7,1.22,53.3,Red
Karnataka,Bangalore Rural,55.5,65.7,81.1,6.86,0.56,0.77,60.7,Alluvial
Karnataka,Bangalore Rural,84.4,36.5,42.2,6.64,0.7,1.52,46.4,Laterite
Karnataka,Bangalore Rural,65.0,42.2,33.5,6.93,0.78,0.99,71.3,Loamy
Karnataka,Bangalore Rural,68.1,34.9,30.8,6.95,0.49,1.1,67.0,Black
Karnataka,Bangalore Rural,31.8,53.9,45.7,5.57,0.86,1.04,40.4,Loamy
Karnataka,Bangalore Rural,56.8,45.8,49.7,7.98,0.6,1.03,46.9,Alluvial
Karnataka,Bangalore Rural,79.4,60.2,51.3,6.63,0.75,1.44,44.4,Black
Karnataka,Bangalore Rural,80.5,37.2,60.4,6.19,0.68,1.47,26.6,Loamy
Karnataka,Bangalore Rural,46.4,53.8,33.7,7.18,0.66,0.87,44.6,Alluvial
Karnataka,Bangalore Rural,46.8,48.6,46.8,6.37,0.87,1.18,13.5,Clayey
Karnataka,Bangalore Rural,56.3,52.9,48.2,5.76,0.55,1.04,30.5,Clayey
Karnataka,Bangalore Rural,70.0,44.7,59.7,6.63,0.82,1.4,47.9,Clayey
Karnataka,Bangalore Rural,90.4,25.1,67.9,7.31,1.02,1.64,37.6,Loamy
Karnataka,Bangalore Rural,52.7,64.7,63.9,7.2,0.47,1.28,46.3,Clayey
Karnataka,Bangalore Rural,62.2,32.7,78.8,6.67,0.65,1.08,24.2,Loamy
Karnataka,Bangalore Rural,69.2,28.9,45.1,7.19,0.78,1.12,70.6,Alluvial
Karnataka,Bangalore Rural,33.8,44.6,83.6,6.84,0.64,1.01,29.9,Red
Karnataka,Bangalore Rural,84.1,27.1,51.3,6.77,0.74,1.2,53.1,Red
Karnataka,Bangalore Rural,43.8,31.6,75.2,7.18,0.48,1.08,24.1,Laterite
Karnataka,Bangalore Rural,77.9,44.0,46.2,6.62,0.73,0.71,60.1,Laterite
Karnataka,Bangalore Rural,86.1,46.2,55.4,6.05,0.61,1.2,24.4,Loamy
Karnataka,Bangalore Rural,79.5,39.9,57.9,6.17,0.63,1.26,53.9,Loamy
Karnataka,Bangalore Rural,61.2,52.1,46.7,6.19,0.71,1.66,42.0,Clayey
Karnataka,Bangalore Rural,43.8,31.1,54.9,6.01,0.7,1.09,67.1,Black
Karnataka,Bangalore Rural,51.2,43.5,46.7,5.65,0.52,1.26,49.9,Red
Karnataka,Bangalore Rural,68.2,54.3,49.5,6.63,0.7,0.71,40.1,Clayey
Karnataka,Bangalore Rural,59.3,51.8,54.1,7.02,0.48,1.25,52.0,Sandy
Karnataka,Bangalore Rural,54.0,33.6,78.4,6.84,0.95,1.89,23.9,Alluvial
Karnataka,Bangalore Rural,79.7,54.9,60.0,6.61,0.51,1.02,63.7,Clayey
Karnataka,Bangalore Rural,67.4,47.0,36.8,7.01,0.4,1.81,58.1,Red
Karnataka,Bangalore Rural,115.8,25.9,61.0,6.49,0.74,0.9,37.0,Red
Karnataka,Bangalore Rural,47.8,40.4,36.8,6.52,0.49,1.31,63.5,Laterite
Karnataka,Bangalore Rural,65.8,31.9,71.6,6.68,0.71,0.96,38.1,Red
Karnataka,Bangalore Rural,64.5,40.1,73.1,6.87,0.94,0.78,25.1,Sandy
Karnataka,Bangalore Rural,36.8,63.8,67.0,5.8,0.8,1.57,27.9,Sandy
Karnataka,Bangalore Rural,32.7,21.6,54.0,6.09,0.58,1.58,43.2,Sandy
Karnataka,Bangalore Rural,59.4,35.1,65.3,6.12,0.63,1.41,35.4,Black
Karnataka,Bangalore Rural,98.1,46.9,58.5,6.03,0.61,1.35,62.0,Loamy
Karnataka,Bangalore Rural,68.9,49.8,61.6,5.78,0.87,1.08,57.3,Red
Karnataka,Bangalore Rural,41.5,32.4,59.9,7.05,0.6,1.43,59.3,Sandy
Karnataka,Bangalore Rural,58.3,45.6,51.4,5.78,0.72,1.36,28.6,Alluvial
Karnataka,Bangalore Rural,20.0,61.2,36.3,6.25,0.83,1.24,61.4,Sandy
Karnataka,Bangalore Rural,91.1,36.5,42.7,6.63,0.52,1.53,65.7,Sandy
Karnataka,Bangalore Rural,48.9,64.0,39.8,6.54,0.82,1.75,34.6,Black
Karnataka,Bangalore Rural,79.2,36.4,66.9,6.89,0.69,1.59,36.9,Alluvial
Karnataka,Bangalore Rural,70.9,41.5,60.6,5.99,0.6,2.11,45.6,Laterite
Karnataka,Bangalore Rural,20.6,41.8,53.7,5.15,0.77,1.25,49.0,Sandy
Karnataka,Bangalore Rural,88.6,57.5,85.5,6.75,0.64,0.72,33.3,Alluvial
Karnataka,Bangalore Rural,55.8,38.2,82.0,7.71,0.92,1.14,18.3,Red
Karnataka,Bangalore Rural,41.0,41.5,64.2,5.11,0.75,1.24,37.0,Black
Karnataka,Bangalore Rural,68.5,50.7,51.2,6.11,0.68,1.61,56.4,Alluvial
Karnataka,Bangalore Rural,93.6,50.9,42.0,6.4,0.65,1.03,33.9,Black
Karnataka,Bangalore Rural,63.5,39.2,54.8,6.54,0.54,0.93,55.5,Loamy
Karnataka,Bangalore Rural,50.2,54.3,63.1,7.52,0.77,0.87,42.4,Alluvial
Karnataka,Bangalore Rural,54.5,30.7,49.1,6.28,0.38,0.91,33.4,Black
Karnataka,Bangalore Rural,60.2,54.7,46.5,5.63,0.75,1.31,64.9,Red
Karnataka,Bangalore Rural,11.4,57.0,48.1,6.03,0.82,1.25,32.2,Laterite
Karnataka,Bangalore Rural,67.7,55.6,44.0,6.78,0.58,1.1,59.6,Red
Karnataka,Bangalore Rural,57.0,54.9,55.6,5.86,0.72,0.99,71.9,Black
Karnataka,Bangalore Rural,96.2,51.6,50.0,6.19,0.6,0.89,59.8,Black
Karnataka,Bangalore Rural,41.7,52.1,45.9,6.4,0.9,1.24,36.9,Red
Karnataka,Bangalore Rural,81.4,28.3,42.0,6.42,0.66,0.99,27.8,Sandy
Karnataka,Bangalore Rural,67.9,48.3,63.5,6.66,0.84,0.9,34.5,Black
Karnataka,Bangalore Rural,97.0,52.2,79.3,6.79,0.88,1.31,55.9,Red
Karnataka,Bangalore Rural,17.3,47.6,49.7,6.24,0.48,1.5,51.9,Sandy
Karnataka,Bangalore Rural,84.2,59.7,21.1,6.64,0.51,1.52,10.8,Sandy
Karnataka,Bangalore Rural,89.4,70.8,66.6,6.4,0.71,1.61,31.8,Black
Karnataka,Bangalore Rural,83.4,50.0,38.7,6.17,0.75,0.95,26.0,Alluvial
Karnataka,Bangalore Rural,69.8,48.6,41.6,7.44,0.51,1.01,71.5,Alluvial
Karnataka,Bangalore Rural,32.5,33.8,62.3,6.17,0.63,1.36,75.6,Black
Karnataka,Bangalore Rural,55.6,40.0,31.9,7.51,0.62,1.02,52.0,Black
Karnataka,Bangalore Rural,44.9,31.5,92.5,6.21,0.75,0.72,40.8,Laterite
Karnataka,Bangalore Rural,57.5,44.6,56.8,6.27,0.45,0.81,52.7,Red
Karnataka,Bangalore Rural,72.9,47.0,64.1,6.08,0.64,1.13,40.4,Laterite
Karnataka,Bangalore Rural,44.0,47.4,44.7,7.42,0.34,1.4,29.6,Black
Karnataka,Bangalore Rural,47.7,35.1,58.4,7.17,0.47,1.15,19.0,Clayey
Karnataka,Bangalore Rural,52.1,44.1,36.9,6.1,1.12,1.38,60.8,Clayey
Karnataka,Bangalore Rural,18.8,49.1,64.0,6.15,0.56,1.88,35.1,Laterite
Karnataka,Bangalore Rural,37.6,15.3,62.5,7.41,0.67,0.89,37.3,Black
Karnataka,Bangalore Rural,54.4,59.7,56.4,6.08,1.04,1.59,48.5,Alluvial
Karnataka,Bangalore Rural,75.3,52.8,43.7,6.64,0.86,0.9,44.5,Alluvial
Karnataka,Bangalore Rural,52.8,42.6,46.1,6.75,0.67,0.93,69.3,Sandy
Karnataka,Bangalore Rural,46.7,23.9,28.5,6.33,0.8,0.83,26.1,Loamy
Karnataka,Bangalore Rural,89.1,67.6,63.2,6.86,0.67,1.49,8.4,Black
Karnataka,Bangalore Rural,59.9,53.3,55.8,7.16,0.85,1.34,48.4,Red
Karnataka,Bangalore Rural,21.7,33.4,68.4,4.86,0.83,1.36,64.7,Loamy
Karnataka,Bangalore Rural,56.0,35.7,56.5,5.98,0.44,1.02,47.6,Laterite
Karnataka,Bangalore Rural,65.9,51.9,64.4,7.12,0.61,1.14,52.9,Laterite
Karnataka,Bangalore Rural,77.8,58.9,52.2,5.6,0.78,1.71,35.3,Clayey
Karnataka,Bangalore Rural,53.9,54.1,48.7,5.6,0.76,1.62,45.3,Red
Karnataka,Bangalore Rural,27.9,61.8,67.6,6.75,0.49,1.17,41.8,Loamy
Karnataka,Bangalore Rural,61.0,28.8,65.3,6.34,0.58,1.19,45.6,Red
Karnataka,Bangalore Rural,77.9,77.2,45.1,7.27,0.73,1.05,52.9,Red
Karnataka,Bangalore Rural,65.3,29.6,75.1,6.96,0.8,1.32,9.9,Laterite
Karnataka,Bangalore Rural,81.9,57.5,58.5,6.57,0.7,1.17,45.1,Sandy
Karnataka,Bangalore Rural,70.3,41.1,60.0,6.07,0.62,0.69,29.3,Loamy
Karnataka,Bangalore Rural,36.3,50.1,84.8,7.73,0.52,1.12,63.5,Sandy
Karnataka,Bangalore Rural,58.8,47.5,60.7,6.28,0.71,0.92,16.9,Red
Karnataka,Bangalore Rural,74.3,46.2,47.2,6.16,0.77,1.0,58.7,Sandy
Karnataka,Bangalore Rural,74.9,36.3,51.8,6.05,0.39,1.22,60.4,Alluvial
Karnataka,Bangalore Rural,61.6,52.5,55.9,7.19,0.72,1.5,51.7,Sandy
Karnataka,Bangalore Rural,37.5,38.7,68.2,6.17,0.54,1.12,53.1,Loamy
Karnataka,Bangalore Rural,88.9,38.7,38.1,6.23,0.35,1.0,30.5,Red
Karnataka,Bangalore Rural,47.6,60.8,73.1,6.64,0.63,1.09,44.3,Alluvial
Karnataka,Bangalore Rural,42.5,20.3,59.0,6.84,0.66,1.38,28.0,Alluvial
Karnataka,Bangalore Rural,71.2,48.2,21.0,6.52,0.68,1.15,55.6,Laterite
Karnataka,Bangalore Rural,56.5,32.8,63.1,5.68,0.91,0.97,41.6,Loamy
Karnataka,Bangalore Rural,76.4,81.7,49.1,5.87,0.73,1.27,36.4,Clayey
Karnataka,Bangalore Rural,78.2,30.1,44.2,6.57,0.48,1.52,79.2,Alluvial
Karnataka,Bangalore Rural,87.6,47.4,68.3,6.55,0.67,1.01,73.9,Laterite
Karnataka,Bangalore Rural,74.9,58.1,49.6,6.93,0.52,1.06,67.5,Laterite
Karnataka,Bangalore Rural,78.5,22.3,47.2,6.38,0.37,0.79,44.4,Black
Karnataka,Bangalore Rural,65.2,37.5,52.0,7.52,0.95,0.55,46.7,Laterite
Karnataka,Bangalore Rural,80.8,23.1,50.5,6.13,0.41,1.2,22.6,Black
Karnataka,Bangalore Rural,64.5,45.2,54.8,5.93,0.73,1.19,37.5,Sandy
Karnataka,Bangalore Rural,75.6,57.5,48.1,6.31,0.43,0.97,21.6,Alluvial
Karnataka,Bangalore Rural,68.8,59.9,51.1,7.13,0.79,0.85,63.8,Clayey
Karnataka,Bangalore Rural,61.2,23.7,70.7,6.38,0.46,1.09,36.3,Red
Karnataka,Bangalore Rural,42.6,42.9,57.9,5.92,0.57,1.67,56.2,Loamy
Karnataka,Dharwad,63.1,53.1,47.8,5.87,0.52,0.57,54.1,Laterite
Karnataka,Dharwad,71.7,25.7,44.0,6.62,0.41,1.24,30.1,Alluvial
Karnataka,Dharwad,63.6,38.7,51.7,6.95,0.58,1.47,73.6,Red
Karnataka,Dharwad,78.0,60.0,57.0,7.42,0.85,1.43,46.1,Black
Karnataka,Dharwad,82.8,54.9,50.8,6.26,0.63,0.93,42.4,Alluvial
Karnataka,Dharwad,39.2,67.0,65.0,7.0,0.37,1.8,35.2,Black
Karnataka,Dharwad,29.3,50.2,70.3,6.78,0.94,1.07,40.1,Clayey
Karnataka,Dharwad,62.1,63.5,47.1,6.24,0.77,0.71,26.8,Black
Karnataka,Dharwad,48.7,43.2,58.3,7.27,0.51,1.01,66.4,Alluvial
Karnataka,Dharwad,36.8,52.3,49.1,5.88,0.52,0.74,26.0,Alluvial
Karnataka,Dharwad,85.5,54.8,69.9,7.92,0.69,1.63,38.9,Clayey
Karnataka,Dharwad,70.8,60.5,64.8,6.21,0.89,0.65,37.2,Sandy
Karnataka,Dharwad,67.5,53.4,74.0,7.01,0.47,0.68,55.5,Sandy
Karnataka,Dharwad,61.7,47.3,35.7,6.13,0.65,0.84,66.4,Loamy
Karnataka,Dharwad,106.4,27.7,70.6,6.95,0.61,1.43,47.1,Sandy
Karnataka,Dharwad,69.2,44.0,67.5,6.7,0.73,1.35,58.3,Black
Karnataka,Dharwad,86.7,38.1,49.7,6.24,0.74,1.75,45.2,Laterite
Karnataka,Dharwad,59.8,28.9,49.6,6.39,0.28,1.5,33.6,Laterite
Karnataka,Dharwad,87.7,36.8,57.7,6.68,0.71,1.12,64.2,Alluvial
Karnataka,Dharwad,22.2,51.7,72.1,7.94,0.63,1.25,39.6,Black
Karnataka,Dharwad,50.3,31.7,66.4,7.23,0.79,1.95,38.1,Sandy
Karnataka,Dharwad,71.9,15.6,84.0,6.55,0.28,1.27,41.9,Alluvial
Karnataka,Dharwad,81.4,42.5,43.2,6.64,0.94,1.3,39.6,Loamy
Karnataka,Dharwad,29.5,68.5,44.8,6.96,0.71,1.17,38.5,Red
Karnataka,Dharwad,55.1,35.8,40.4,6.94,0.5,1.34,46.4,Black
Karnataka,Dharwad,75.1,31.5,72.5,6.75,0.6,1.06,38.9,Loamy
Karnataka,Dharwad,61.3,37.8,66.7,6.46,0.52,0.92,22.8,Red
Karnataka,Dharwad,49.8,47.0,61.4,6.08,0.71,0.89,41.7,Loamy
Karnataka,Dharwad,52.5,22.5,44.7,5.68,0.72,1.33,40.5,Alluvial
Karnataka,Dharwad,22.0,54.3,59.9,6.09,0.71,0.96,40.3,Sandy
Karnataka,Dharwad,48.8,52.4,48.7,7.26,0.74,0.99,45.5,Sandy
Karnataka,Dharwad,42.1,63.7,63.3,6.4,0.35,0.97,32.6,Red
Karnataka,Dharwad,58.5,45.9,92.8,7.57,0.55,1.52,52.6,Sandy
Karnataka,Dharwad,59.6,52.7,44.4,6.24,0.43,0.51,28.4,Black
Karnataka,Dharwad,27.4,59.8,57.5,6.19,0.51,1.25,52.7,Laterite
Karnataka,Dharwad,66.5,32.1,65.9,7.42,0.34,1.1,56.0,Laterite
Karnataka,Dharwad,32.6,36.7,59.1,7.15,0.69,1.31,60.1,Sandy
Karnataka,Dharwad,91.9,60.1,73.8,6.77,0.74,1.85,30.6,Laterite
Karnataka,Dharwad,46.0,48.7,47.8,4.67,0.47,1.07,24.6,Black
Karnataka,Dharwad,35.7,68.9,58.2,5.56,0.6,1.32,46.1,Laterite
Karnataka,Dharwad,44.5,62.5,67.9,6.24,0.56,1.04,87.4,Alluvial
Karnataka,Dharwad,87.2,51.8,50.4,6.41,0.68,0.58,59.2,Laterite
Karnataka,Dharwad,98.3,42.9,55.7,6.11,0.49,0.9,26.8,Loamy
Karnataka,Dharwad,5.0,38.1,54.8,6.12,0.73,0.99,48.4,Red
Karnataka,Dharwad,49.0,57.9,76.0,6.14,0.93,0.71,32.8,Loamy
Karnataka,Dharwad,77.8,40.3,75.0,6.75,0.58,1.14,41.6,Red
Karnataka,Dharwad,39.1,37.0,50.7,7.12,0.66,0.81,24.0,Red
Karnataka,Dharwad,51.7,38.4,46.1,5.73,0.48,0.95,53.9,Sandy
Karnataka,Dharwad,55.2,32.4,61.3,5.94,0.69,1.64,51.4,Loamy
Karnataka,Dharwad,63.5,58.9,68.5,5.93,0.52,0.99,36.1,Loamy
Karnataka,Dharwad,59.8,33.9,63.1,6.88,0.43,0.95,44.4,Red
Karnataka,Dharwad,82.8,36.5,63.9,7.28,0.69,1.41,54.1,Black
Karnataka,Dharwad,43.2,30.2,59.8,6.11,0.55,0.96,60.1,Loamy
Karnataka,Dharwad,44.8,53.7,40.5,6.62,0.6,0.88,57.5,Sandy
Karnataka,Dharwad,65.7,33.6,45.4,6.01,0.81,1.29,20.0,Loamy
Karnataka,Dharwad,89.1,26.9,44.7,6.09,0.59,0.92,37.0,Loamy
Karnataka,Dharwad,42.9,34.5,87.5,6.4,0.64,1.18,68.3,Alluvial
Karnataka,Dharwad,27.7,35.4,54.7,6.48,0.57,0.89,40.7,Sandy
Karnataka,Dharwad,98.0,52.9,40.3,6.4,0.69,1.08,40.8,Loamy
Karnataka,Dharwad,58.6,49.8,43.9,7.54,0.28,1.27,45.6,Laterite
Karnataka,Dharwad,37.5,49.0,44.8,5.95,1.07,1.95,53.7,Laterite
Karnataka,Dharwad,74.4,53.3,49.8,7.05,0.83,1.01,56.9,Sandy
Karnataka,Dharwad,57.8,41.7,65.5,8.12,0.71,1.84,34.7,Black
Karnataka,Dharwad,47.6,60.7,37.4,6.49,0.75,1.83,38.1,Loamy
Karnataka,Dharwad,73.9,56.3,52.8,5.8,0.41,1.08,62.2,Sandy
Karnataka,Dharwad,78.7,67.0,62.4,5.92,0.69,1.43,36.2,Laterite
Karnataka,Dharwad,79.4,57.7,73.5,4.87,0.94,1.25,45.7,Black
Karnataka,Dharwad,58.0,47.9,38.9,6.46,0.8,1.43,54.3,Red
Karnataka,Dharwad,72.4,42.9,51.4,6.4,0.84,0.96,26.8,Laterite
Karnataka,Dharwad,96.3,48.9,72.7,6.97,0.61,0.85,51.5,Black
Karnataka,Dharwad,30.5,54.9,75.4,5.73,0.63,1.3,50.8,Loamy
Karnataka,Dharwad,53.2,39.5,58.4,7.52,0.48,0.81,32.1,Clayey
Karnataka,Dharwad,32.7,70.6,64.8,5.79,0.82,1.54,63.3,Alluvial
Karnataka,Dharwad,43.8,37.8,63.6,5.5,0.8,0.94,30.2,Alluvial
Karnataka,Dharwad,82.1,58.9,68.0,7.61,0.61,1.15,42.0,Alluvial
Karnataka,Dharwad,58.8,14.7,54.2,6.39,0.67,1.28,34.7,Loamy
Karnataka,Dharwad,77.2,52.7,68.3,7.15,0.54,1.11,71.9,Loamy
Karnataka,Dharwad,94.6,38.1,67.2,5.79,0.56,0.66,60.1,Loamy
Karnataka,Dharwad,57.3,30.1,51.3,7.99,0.53,1.19,36.3,Clayey
Karnataka,Dharwad,39.9,35.8,69.6,6.9,0.28,1.31,29.5,Black
