Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_pH,Rainfall,Crop,State,District,Latitude,Longitude,Altitude,Soil_Type,Organic_Carbon,Electrical_Conductivity,Groundwater_Level,Soil_Moisture,Agro_Climatic_Zone,Water_Availability,Irrigation_Type,Season,Month,Wind_Speed,Solar_Radiation,Sunshine_Hours,NPK_Total,NPK_Ratio_N,NPK_Ratio_P,NPK_Ratio_K,Fertility_Index,Crop_Suitability_Score,Rainfall_Category,Temperature_Category
13,67,18,30.5753044,34.75591197,5.384762927,177.5764304,pigeonpeas,Madhya Pradesh,Jabalpur,23.500176,79.666251,380.6,Red,0.657,0.446,14.68,22.57,Central Plateau and Hills Region,Low,Rainfed,Kharif,July,6.65,18.7,7.38,98,0.1327,0.6837,0.1837,32.43,71.89,High,Warm
27,74,20,24.69487673,59.96669215,5.859813416,91.95792434,pigeonpeas,Madhya Pradesh,Bhopal,23.668747,77.525718,321.0,Black,1.069,0.463,8.0,28.1,Central Plateau and Hills Region,Low,Rainfed,Kharif,July,13.48,19.37,6.76,121,0.2231,0.6116,0.1653,44.07,70.3,Medium,Moderate
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas,Maharashtra,Nashik,20.021149,76.075946,519.2,Black,0.773,0.754,10.99,34.73,Western Plateau and Hills Region,Medium,Rainfed,Kharif,July,10.15,17.56,6.83,125,0.232,0.576,0.192,41.21,64.02,High,Moderate
5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,pigeonpeas,Maharashtra,Pune,19.285194,75.852732,474.2,Red,0.542,0.491,10.65,21.0,Western Plateau and Hills Region,Medium,Rainfed,Kharif,June,13.52,18.64,7.03,93,0.0538,0.7312,0.2151,33.02,70.33,High,Cool
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,pigeonpeas,Madhya Pradesh,Indore,24.859585,78.494978,480.0,Red,0.31,0.423,16.62,15.99,Central Plateau and Hills Region,Low,Rainfed,Kharif,July,8.55,17.25,6.98,115,0.3391,0.4957,0.1652,35.17,69.07,High,Warm
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas,Uttar Pradesh,Varanasi,27.644193,80.033625,180.3,Black,1.047,0.535,7.13,33.88,Upper Gangetic Plains Region,Low,Rainfed,Kharif,June,5.92,16.58,5.72,100,0.22,0.62,0.16,35.84,63.71,High,Hot
18,55,23,21.9989826,56.31006755,6.98571967,136.8274312,pigeonpeas,Maharashtra,Nashik,19.672428,75.407135,628.3,Black,0.644,0.415,17.0,35.25,Western Plateau and Hills Region,Low,Rainfed,Kharif,July,11.98,17.18,7.81,96,0.1875,0.5729,0.2396,34.25,62.8,High,Moderate
39,77,21,22.99774444,60.24218572,4.603563116,159.689339,pigeonpeas,Maharashtra,Nagpur,19.592875,75.310237,733.0,Black,0.852,0.745,13.6,36.72,Western Plateau and Hills Region,Low,Rainfed,Kharif,July,6.93,16.46,6.04,137,0.2847,0.562,0.1533,38.4,61.75,High,Moderate
13,75,20,30.55992394,35.29006485,6.979540061,178.8998611,pigeonpeas,Uttar Pradesh,Meerut,26.452172,80.345292,238.8,Red,0.589,0.15,6.67,17.78,Upper Gangetic Plains Region,Low,Rainfed,Kharif,June,9.11,15.75,6.21,108,0.1204,0.6944,0.1852,35.9,66.41,High,Warm
27,71,24,31.46417866,48.17631461,7.064973419,165.405354,pigeonpeas,Uttar Pradesh,Meerut,27.649004,79.798275,271.3,Red,0.672,0.479,11.15,24.03,Upper Gangetic Plains Region,Low,Rainfed,Kharif,July,4.42,16.94,5.51,122,0.2213,0.582,0.1967,38.85,70.11,High,Warm
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,pigeonpeas,Maharashtra,Kolhapur,17.852632,75.775502,566.3,Black,0.583,0.433,15.15,38.73,Western Plateau and Hills Region,Low,Rainfed,Kharif,June,13.48,17.13,6.54,112,0.2321,0.5714,0.1964,32.64,72.32,Medium,Moderate
23,55,16,21.01142393,69.69141302,5.111488821,185.2039114,pigeonpeas,Karnataka,Hassan,14.936373,76.703308,630.1,Red,0.557,0.426,19.02,16.41,Southern Plateau and Hills Region,Medium,Rainfed,Kharif,June,12.84,17.33,6.79,94,0.2447,0.5851,0.1702,29.31,54.42,High,Moderate
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas,Madhya Pradesh,Bhopal,23.718561,78.738119,332.1,Black,0.799,0.505,11.45,39.24,Central Plateau and Hills Region,Low,Rainfed,Kharif,July,10.3,17.79,6.3,92,0.0435,0.75,0.2065,33.17,74.72,High,Cool
20,67,19,19.24462755,50.54495302,5.671419084,180.6465282,pigeonpeas,Maharashtra,Kolhapur,18.956116,75.454321,566.0,Red,0.645,0.185,10.95,25.41,Western Plateau and Hills Region,Low,Rainfed,Kharif,July,12.75,19.18,5.99,106,0.1887,0.6321,0.1792,34.86,78.29,High,Cool
7,74,17,22.47253208,62.56532471,5.667419697,96.74706956,pigeonpeas,Karnataka,Hassan,14.914275,76.161859,761.3,Black,0.864,0.27,17.24,34.45,Southern Plateau and Hills Region,Low,Rainfed,Kharif,July,8.84,17.53,6.85,98,0.0714,0.7551,0.1735,36.56,59.87,Medium,Moderate
17,64,18,36.75087487,58.25799145,6.07938452,124.6028153,pigeonpeas,Karnataka,Chikkamagaluru,14.354627,76.617891,476.2,Black,0.556,0.642,8.1,39.49,Southern Plateau and Hills Region,Medium,Rainfed,Kharif,June,10.84,19.12,5.78,99,0.1717,0.6465,0.1818,34.26,68.76,High,Hot
35,71,17,29.89286629,66.35375127,6.931924963,198.1403003,pigeonpeas,Madhya Pradesh,Ujjain,21.954265,77.905539,383.0,Red,0.63,0.166,13.62,23.13,Central Plateau and Hills Region,Low,Rainfed,Kharif,July,12.81,16.9,7.69,123,0.2846,0.5772,0.1382,39.58,57.64,High,Warm
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,pigeonpeas,Karnataka,Chikkamagaluru,14.868205,75.622177,774.2,Black,0.824,0.62,6.66,38.67,Southern Plateau and Hills Region,Low,Rainfed,Kharif,July,6.65,16.55,5.36,105,0.1048,0.6857,0.2095,39.01,72.23,High,Warm
20,60,22,29.65052947,42.89833235,6.876572503,186.9226052,pigeonpeas,Karnataka,Belagavi,15.66819,76.028072,458.6,Black,0.956,0.677,16.37,25.04,Southern Plateau and Hills Region,Medium,Rainfed,Kharif,June,10.35,17.9,5.08,102,0.1961,0.5882,0.2157,40.13,70.1,High,Warm
10,71,18,19.54284889,66.34777265,6.151029296,173.1106982,pigeonpeas,Karnataka,Chikkamagaluru,15.118669,75.509456,311.7,Black,0.93,0.395,15.6,34.56,Southern Plateau and Hills Region,Low,Rainfed,Kharif,July,9.28,16.72,6.9,99,0.101,0.7172,0.1818,39.68,63.23,High,Cool
33,61,24,20.04611791,48.93905624,4.567446499,122.4564203,pigeonpeas,Uttar Pradesh,Meerut,26.971345,81.143995,255.7,Red,0.645,0.475,5.14,16.31,Upper Gangetic Plains Region,Medium,Rainfed,Kharif,July,7.25,16.27,5.03,118,0.2797,0.5169,0.2034,31.79,60.66,High,Moderate
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans,Gujarat,Junagadh,22.216139,71.68932,284.2,Red,0.438,0.162,14.69,18.73,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,11.39,19.06,7.37,70,0.0429,0.7,0.2571,17.05,59.37,Low,Warm
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,mothbeans,Rajasthan,Bikaner,26.747299,73.913854,388.4,Sandy,0.363,0.151,21.16,17.23,Western Dry Region,Medium,Rainfed,Kharif,June,13.29,18.64,8.5,104,0.2115,0.5673,0.2212,24.67,67.67,Low,Warm
36,58,25,28.66024187,59.3189118,8.399135958,36.92629678,mothbeans,Gujarat,Junagadh,22.189589,70.477636,128.1,Sandy,0.384,0.293,8.21,10.0,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,16.33,18.49,6.72,119,0.3025,0.4874,0.2101,28.48,60.04,Low,Warm
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans,Gujarat,Ahmedabad,22.8931,70.887304,212.3,Red,0.49,0.411,17.14,16.78,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,14.0,18.0,7.49,65,0.0615,0.6615,0.2769,18.9,60.19,Medium,Warm
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans,Gujarat,Junagadh,22.987992,72.250618,199.6,Sandy,0.309,0.224,20.93,11.13,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,18.02,17.34,6.54,99,0.2929,0.5455,0.1616,25.66,68.24,Low,Warm
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans,Gujarat,Ahmedabad,22.422435,71.700964,65.1,Sandy,0.26,0.168,24.47,16.86,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,15.73,20.05,6.11,97,0.3299,0.4433,0.2268,26.02,63.51,Medium,Warm
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans,Gujarat,Rajkot,23.21546,71.118902,91.1,Sandy,0.281,0.127,23.17,12.62,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,14.61,20.46,6.75,84,0.1667,0.6548,0.1786,23.13,63.94,Medium,Warm
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans,Rajasthan,Jodhpur,25.48727,74.197559,390.0,Red,0.639,0.262,21.93,25.37,Western Dry Region,Low,Rainfed,Kharif,June,16.78,19.27,8.27,60,0.0833,0.5833,0.3333,16.22,63.89,Low,Warm
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans,Gujarat,Surat,23.184235,71.414795,158.9,Red,0.664,0.39,9.48,21.93,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,10.26,18.05,7.6,106,0.2358,0.5377,0.2264,36.27,70.58,Low,Warm
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans,Gujarat,Rajkot,22.621699,71.506618,239.0,Sandy,0.229,0.142,24.67,11.18,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,11.16,18.29,6.53,88,0.125,0.6023,0.2727,25.29,73.14,Low,Warm
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans,Gujarat,Surat,22.089054,71.867867,138.5,Sandy,0.125,0.203,10.54,8.37,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,13.73,18.31,6.43,106,0.3774,0.4623,0.1604,30.72,68.02,Low,Warm
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans,Gujarat,Junagadh,23.287688,70.820868,68.3,Red,0.359,0.137,8.7,15.04,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,13.83,19.67,6.93,119,0.3193,0.4706,0.2101,30.4,56.27,Low,Moderate
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans,Rajasthan,Jodhpur,26.775543,72.788114,325.1,Red,0.373,0.39,23.08,22.06,Western Dry Region,Low,Rainfed,Kharif,June,14.01,21.65,7.62,93,0.2903,0.4624,0.2473,29.41,69.23,Low,Warm
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans,Gujarat,Ahmedabad,22.469491,71.079525,298.0,Sandy,0.379,0.114,20.73,12.19,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,16.15,18.0,5.87,84,0.2857,0.4524,0.2619,23.25,62.87,Low,Moderate
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans,Rajasthan,Jaipur,26.573258,73.50906,372.9,Sandy,0.199,0.088,29.97,13.01,Western Dry Region,Low,Rainfed,Kharif,June,15.79,19.37,7.34,89,0.2584,0.5056,0.236,18.35,68.43,Medium,Warm
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans,Gujarat,Ahmedabad,22.563083,71.636478,34.7,Red,0.439,0.305,23.4,21.28,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,17.31,20.86,6.62,106,0.2736,0.5377,0.1887,32.87,74.5,Low,Moderate
31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,mothbeans,Gujarat,Junagadh,22.330197,71.450083,286.8,Sandy,0.194,0.224,24.15,12.06,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,11.01,16.62,6.92,89,0.3483,0.3933,0.2584,23.7,60.74,Low,Warm
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans,Rajasthan,Jodhpur,27.370256,74.537289,253.0,Sandy,0.157,0.267,20.19,10.77,Western Dry Region,Medium,Rainfed,Kharif,June,11.74,18.73,6.85,80,0.0,0.6875,0.3125,18.08,59.03,Low,Warm
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,mothbeans,Gujarat,Surat,22.055105,71.78593,242.7,Red,0.608,0.46,22.02,23.36,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,12.62,20.88,6.04,74,0.0946,0.6081,0.2973,17.07,56.45,Medium,Moderate
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans,Gujarat,Surat,21.76568,70.885246,251.7,Sandy,0.398,0.275,11.48,11.69,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,15.47,17.37,7.25,100,0.17,0.58,0.25,33.37,58.45,Low,Warm
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans,Gujarat,Rajkot,22.816434,71.678564,238.5,Sandy,0.383,0.26,10.62,14.42,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,16.0,18.23,5.83,72,0.1528,0.6111,0.2361,22.37,67.49,Low,Moderate
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,mothbeans,Rajasthan,Jodhpur,27.111452,74.041389,181.1,Red,0.65,0.175,16.06,15.45,Western Dry Region,Low,Rainfed,Kharif,June,15.19,18.55,7.64,93,0.2366,0.5269,0.2366,23.81,68.89,Medium,Warm
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans,Rajasthan,Jaipur,26.539582,71.166531,439.7,Sandy,0.205,0.183,32.31,16.91,Western Dry Region,Low,Rainfed,Kharif,June,13.56,17.99,7.58,79,0.1139,0.6456,0.2405,23.25,75.69,Low,Warm
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,mothbeans,Gujarat,Rajkot,22.108299,72.045792,62.5,Sandy,0.178,0.247,9.0,14.5,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,16.34,17.75,7.17,91,0.3077,0.5275,0.1648,17.72,65.06,Low,Moderate
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans,Gujarat,Surat,24.029766,71.743409,189.8,Red,0.532,0.144,17.89,15.46,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,14.39,18.33,7.04,95,0.2737,0.5263,0.2,32.81,78.0,Low,Warm
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,mothbeans,Gujarat,Surat,21.956963,71.569556,227.0,Sandy,0.342,0.282,16.28,14.46,Gujarat Plains and Hills Region,High,Rainfed,Kharif,June,17.44,21.13,7.29,112,0.3214,0.5,0.1786,31.25,65.58,Low,Moderate
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans,Gujarat,Ahmedabad,21.871309,71.452058,223.7,Red,0.345,0.178,9.86,19.54,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,12.63,19.33,7.0,86,0.093,0.6977,0.2093,19.14,57.87,Low,Warm
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans,Rajasthan,Jaipur,27.253977,74.204414,480.1,Red,0.421,0.131,15.55,23.95,Western Dry Region,Medium,Rainfed,Kharif,July,11.95,20.99,7.86,82,0.2927,0.4512,0.2561,28.0,69.36,Low,Warm
22,43,24,25.42517036,53.2208266,4.52363558,46.19374559,mothbeans,Gujarat,Surat,22.755069,71.082574,81.5,Red,0.643,0.492,15.9,23.67,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,9.69,17.33,6.88,89,0.2472,0.4831,0.2697,26.4,70.9,Low,Moderate
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans,Rajasthan,Bikaner,27.333958,74.950899,449.9,Red,0.439,0.149,39.27,18.62,Western Dry Region,Medium,Rainfed,Kharif,July,9.38,20.28,7.27,103,0.3495,0.4175,0.233,21.69,58.41,Low,Warm
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans,Gujarat,Surat,23.264657,71.464001,54.3,Sandy,0.227,0.056,17.64,16.17,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,10.01,20.33,6.43,90,0.2444,0.4889,0.2667,27.48,69.84,Low,Moderate
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,mothbeans,Gujarat,Ahmedabad,22.532295,72.129853,98.4,Red,0.341,0.18,20.29,17.81,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,13.02,17.67,6.33,82,0.2073,0.5244,0.2683,25.44,70.11,Low,Warm
8,45,15,28.09568993,60.9835384,4.61136408,33.84110759,mothbeans,Gujarat,Rajkot,22.786121,71.440486,144.0,Sandy,0.39,0.153,15.04,9.65,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,15.15,17.21,6.12,68,0.1176,0.6618,0.2206,20.28,61.01,Low,Warm
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,mothbeans,Gujarat,Junagadh,21.578226,71.055098,172.1,Sandy,0.37,0.101,13.41,11.01,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,13.22,17.45,7.5,86,0.0814,0.6512,0.2674,26.67,60.81,Low,Moderate
36,57,16,28.61409059,57.14218792,8.292875734,57.02891698,mothbeans,Rajasthan,Jodhpur,26.438873,72.602455,266.9,Sandy,0.328,0.299,23.76,8.51,Western Dry Region,Medium,Rainfed,Kharif,July,14.45,19.45,8.19,109,0.3303,0.5229,0.1468,27.1,65.94,Low,Warm
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,mothbeans,Rajasthan,Kota,26.604185,74.711633,182.7,Red,0.421,0.424,15.16,23.88,Western Dry Region,Medium,Rainfed,Kharif,July,9.18,20.34,8.36,75,0.1467,0.6,0.2533,18.22,68.3,Low,Warm
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,mothbeans,Rajasthan,Jodhpur,25.564782,72.136827,248.0,Red,0.623,0.199,37.11,15.35,Western Dry Region,High,Rainfed,Kharif,July,14.28,19.32,7.09,64,0.0938,0.5625,0.3438,20.1,56.36,Low,Moderate
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,mothbeans,Gujarat,Surat,22.161244,71.253876,251.1,Red,0.497,0.189,19.32,22.24,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,13.92,18.85,6.11,94,0.1809,0.6064,0.2128,22.42,66.76,Low,Warm
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans,Rajasthan,Kota,26.245604,74.362799,445.0,Red,0.369,0.369,30.0,20.51,Western Dry Region,Low,Rainfed,Kharif,July,12.26,19.82,7.81,71,0.0563,0.662,0.2817,18.31,59.03,Medium,Moderate
9,49,16,30.88482722,41.36561835,7.661537348,55.053805,mothbeans,Gujarat,Ahmedabad,21.963192,71.600425,230.7,Sandy,0.127,0.282,19.63,11.5,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,12.05,20.0,6.35,74,0.1216,0.6622,0.2162,20.86,64.01,Low,Warm
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans,Rajasthan,Bikaner,26.454518,73.794811,379.5,Red,0.425,0.26,35.43,18.11,Western Dry Region,Medium,Rainfed,Kharif,July,15.95,18.98,8.03,100,0.25,0.51,0.24,21.38,61.68,Low,Moderate
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans,Rajasthan,Jaipur,26.9445,72.390017,488.3,Red,0.681,0.434,25.88,21.76,Western Dry Region,Low,Rainfed,Kharif,June,20.1,21.03,7.73,101,0.3564,0.4356,0.2079,29.26,65.68,Low,Moderate
21,38,20,27.10508014,63.56791363,5.794289715,62.20279647,mothbeans,Rajasthan,Jaipur,26.33277,74.067683,269.9,Sandy,0.311,0.251,23.85,17.99,Western Dry Region,Medium,Rainfed,Kharif,July,17.97,20.74,8.5,79,0.2658,0.481,0.2532,25.94,71.08,Low,Warm
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans,Rajasthan,Bikaner,26.591929,74.490504,343.0,Sandy,0.396,0.124,31.38,11.29,Western Dry Region,Low,Rainfed,Kharif,July,19.11,19.45,7.55,114,0.3246,0.5,0.1754,32.7,61.3,Low,Warm
32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,mothbeans,Rajasthan,Bikaner,26.164802,74.018332,426.5,Sandy,0.212,0.288,25.15,16.6,Western Dry Region,Low,Rainfed,Kharif,June,18.49,20.44,7.2,98,0.3265,0.4898,0.1837,29.01,73.52,Low,Moderate
29,44,20,30.04132304,63.56222995,8.620107545,31.83192392,mothbeans,Rajasthan,Jodhpur,27.002668,74.150897,231.9,Red,0.473,0.355,28.91,17.82,Western Dry Region,Low,Rainfed,Kharif,July,8.93,18.18,7.61,93,0.3118,0.4731,0.2151,24.48,65.31,Low,Warm
25,51,18,27.77799528,54.82130787,9.45949344,50.28438729,mothbeans,Gujarat,Ahmedabad,21.552477,71.313243,202.8,Sandy,0.364,0.057,12.6,8.86,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,14.88,17.14,6.66,94,0.266,0.5426,0.1915,19.66,78.74,Low,Warm
10,44,24,30.99256944,43.02151392,8.0344125,58.27600682,mothbeans,Gujarat,Surat,22.55849,71.742652,79.0,Red,0.477,0.215,8.34,22.34,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,10.09,19.56,7.04,78,0.1282,0.5641,0.3077,24.1,62.17,Low,Warm
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,mothbeans,Gujarat,Rajkot,21.378586,71.761422,143.7,Red,0.361,0.339,24.08,16.94,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,June,14.41,17.72,6.63,76,0.3026,0.4605,0.2368,24.59,65.21,Low,Moderate
9,60,23,31.96987867,57.17377029,6.276004336,64.25520357,mothbeans,Rajasthan,Bikaner,27.155429,73.552994,487.4,Sandy,0.222,0.097,21.95,12.6,Western Dry Region,Low,Rainfed,Kharif,July,11.06,18.59,7.39,92,0.0978,0.6522,0.25,28.92,60.12,Low,Warm
3,58,21,25.36140526,46.82652785,9.160691747,55.60523179,mothbeans,Gujarat,Junagadh,21.838902,71.944492,100.6,Sandy,0.391,0.204,20.84,11.51,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,10.6,17.81,6.76,82,0.0366,0.7073,0.2561,18.95,60.82,Low,Moderate
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans,Gujarat,Surat,22.231403,72.21178,70.5,Sandy,0.296,0.248,11.42,10.02,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,June,12.56,20.07,6.73,86,0.2558,0.4884,0.2558,23.85,75.49,Low,Moderate
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,mothbeans,Gujarat,Junagadh,22.084357,71.997929,3.1,Sandy,0.129,0.271,17.62,11.73,Gujarat Plains and Hills Region,High,Rainfed,Kharif,July,12.7,19.49,7.31,72,0.1667,0.5417,0.2917,17.86,64.43,Low,Warm
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,mothbeans,Rajasthan,Kota,27.141419,72.683166,357.3,Sandy,0.244,0.125,23.32,14.51,Western Dry Region,Low,Rainfed,Kharif,July,11.79,18.63,7.1,97,0.4021,0.3711,0.2268,19.93,57.53,Low,Warm
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans,Gujarat,Ahmedabad,22.698204,71.03288,101.8,Red,0.422,0.447,18.11,20.27,Gujarat Plains and Hills Region,Medium,Rainfed,Kharif,July,14.64,19.49,7.37,89,0.3596,0.4607,0.1798,27.39,63.52,Low,Warm
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,mothbeans,Gujarat,Rajkot,22.65279,71.048233,76.8,Sandy,0.115,0.148,10.14,12.9,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,13.8,17.67,6.04,86,0.3488,0.4767,0.1744,25.31,61.62,Low,Moderate
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans,Rajasthan,Jodhpur,26.907417,74.215118,152.8,Red,0.626,0.246,17.05,21.64,Western Dry Region,Medium,Rainfed,Kharif,June,9.52,18.94,8.05,77,0.2468,0.4675,0.2857,31.34,69.05,Low,Moderate
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans,Rajasthan,Jaipur,25.975356,74.849852,158.8,Red,0.614,0.395,34.53,15.41,Western Dry Region,Medium,Rainfed,Kharif,July,18.83,18.99,7.84,65,0.0615,0.7077,0.2308,17.97,53.27,Low,Warm
21,39,20,27.06179658,52.3003173,7.388007483,60.74583498,mothbeans,Gujarat,Ahmedabad,22.946899,71.462114,171.6,Red,0.474,0.266,11.26,22.94,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,17.77,17.25,7.62,80,0.2625,0.4875,0.25,27.55,81.07,Low,Warm
35,57,25,27.0956288,42.26206161,8.340398059,71.1271039,mothbeans,Rajasthan,Jodhpur,26.528028,74.477749,458.8,Red,0.657,0.317,23.72,24.75,Western Dry Region,Low,Rainfed,Kharif,June,19.34,21.27,7.82,117,0.2991,0.4872,0.2137,32.1,55.41,Low,Warm
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,mothbeans,Rajasthan,Kota,26.655616,72.607275,375.8,Sandy,0.219,0.164,39.37,16.44,Western Dry Region,Medium,Rainfed,Kharif,June,15.43,18.97,7.43,101,0.2178,0.5446,0.2376,21.95,70.34,Low,Warm
35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,mothbeans,Gujarat,Surat,22.876192,71.274412,18.7,Red,0.452,0.393,24.26,27.43,Gujarat Plains and Hills Region,High,Rainfed,Kharif,June,17.2,19.95,6.15,103,0.3398,0.4951,0.165,22.63,65.57,Low,Warm
17,56,17,27.94293692,45.41393636,5.9565851,69.66289997,mothbeans,Rajasthan,Kota,26.658023,72.891063,417.1,Red,0.646,0.124,21.49,17.64,Western Dry Region,Low,Rainfed,Kharif,July,18.22,19.17,7.41,90,0.1889,0.6222,0.1889,33.42,67.3,Low,Warm
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,mothbeans,Rajasthan,Kota,26.944989,73.292419,424.4,Sandy,0.375,0.057,26.88,17.05,Western Dry Region,Low,Rainfed,Kharif,July,16.22,18.37,7.54,102,0.2745,0.5588,0.1667,21.51,59.66,Low,Warm
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,mothbeans,Rajasthan,Kota,27.755325,72.844215,297.2,Sandy,0.17,0.266,22.64,12.82,Western Dry Region,Low,Rainfed,Kharif,July,14.74,18.29,7.75,74,0.2973,0.4865,0.2162,19.17,64.45,Low,Warm
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans,Gujarat,Ahmedabad,23.070406,70.930837,81.2,Red,0.313,0.282,16.64,17.71,Gujarat Plains and Hills Region,Low,Rainfed,Kharif,July,10.84,19.52,6.1,71,0.1549,0.5775,0.2676,21.73,65.59,Low,Moderate
38,38,18,26.31051759,61.18749126,6.294130313,35.73403813,mothbeans,Rajasthan,Jaipur,27.387258,73.826514,429.5,Red,0.439,0.138,32.35,18.96,Western Dry Region,Low,Rainfed,Kharif,July,10.23,19.37,7.35,94,0.4043,0.4043,0.1915,32.71,60.95,Low,Moderate
